k,lr,embedding_dim,temperature,run_name,best_epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,status
10,0.001,32,0.3,gcn_k10_e32_t0.30_lr1e-03,3,3.4314813820215373,3.4266543519606283,-0.04031261429190636,-0.059044212102890015,-0.02215675823390484,-0.05214044451713562,-0.04183247685432434,-0.04062806814908981,-0.043160391971468925,success
10,0.001,32,0.5,gcn_k10_e32_t0.50_lr1e-03,5,3.431333848146292,3.426554513633798,-0.03585025668144226,-0.06044315546751022,-0.025123832747340202,-0.06587179750204086,-0.032523397356271744,-0.04496518149971962,-0.04578547291457653,success
10,0.001,32,1.0,gcn_k10_e32_t1.00_lr1e-03,5,3.4313349219468923,3.4266505481999947,-0.03883910924196243,-0.07052973657846451,-0.02588936686515808,-0.06973475962877274,-0.03150350600481033,-0.047065410763025284,-0.048944555968046186,success
10,0.001,64,0.3,gcn_k10_e64_t0.30_lr1e-03,4,3.431371383025096,3.4262988042393956,-0.032624974846839905,-0.06405336409807205,-0.0209941565990448,-0.04131234809756279,-0.040797214955091476,-0.02922450378537178,-0.03927631750702858,success
10,0.001,64,0.5,gcn_k10_e64_t0.50_lr1e-03,5,3.431440495986205,3.4266102248375567,-0.025633256882429123,-0.05804789438843727,-0.018997101113200188,-0.04938766732811928,-0.04784175008535385,-0.025262078270316124,-0.039907298237085345,success
10,0.001,64,1.0,gcn_k10_e64_t1.00_lr1e-03,4,3.431418990171873,3.426577736478333,-0.035135768353939056,-0.06482038646936417,-0.019556112587451935,-0.05603351444005966,-0.030040400102734566,-0.03711932525038719,-0.041513947769999504,success
10,0.01,32,0.3,gcn_k10_e32_t0.30_lr1e-02,6,3.4313817771581503,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
10,0.01,32,0.5,gcn_k10_e32_t0.50_lr1e-02,1,3.431608809874608,3.4266912302839647,-0.05472905933856964,-0.08614059537649155,-0.048780519515275955,-0.06498056650161743,-0.08796988427639008,-0.08083182573318481,-0.07374067828059197,success
10,0.01,32,1.0,gcn_k10_e32_t1.00_lr1e-02,3,3.4313818546441883,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
10,0.01,64,0.3,gcn_k10_e64_t0.30_lr1e-02,6,3.4313817689051995,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
10,0.01,64,0.5,gcn_k10_e64_t0.50_lr1e-02,3,3.4313818885729863,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
10,0.01,64,1.0,gcn_k10_e64_t1.00_lr1e-02,3,3.4313817624862377,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
20,0.001,32,0.3,gcn_k20_e32_t0.30_lr1e-03,8,3.430564599770766,3.422087953724992,-0.058711957186460495,-0.0442168302834034,-0.03909428045153618,-0.03341704234480858,-0.0367908701300621,-0.0010805714409798384,-0.030919918930158018,success
