epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.432214401776974,3.4266935116654142,-0.10666762292385101,-0.15285761654376984,-0.02109489031136036,-0.09183911979198456,-0.09721267223358154,0.012226528488099575,-0.07015555407851934,0.001
2,3.431379541525474,3.4266630706437136,-0.1051362156867981,-0.15070326626300812,-0.020532039925456047,-0.08859863877296448,-0.09276220202445984,0.011544381268322468,-0.0682103531435132,0.001
3,3.431233659157386,3.426473497250758,-0.10410566627979279,-0.1491912454366684,-0.025073831900954247,-0.08937707543373108,-0.09249451011419296,0.0038382255006581545,-0.0704596874769777,0.001
4,3.431208320764395,3.4247465264906576,-0.04905695840716362,-0.1145353689789772,-0.08357297629117966,-0.031897757202386856,-0.03547093644738197,-0.056357257068157196,-0.06436685919761657,0.001
5,3.4309479718024916,3.4254540325304785,-0.05008582025766373,-0.08482827246189117,-0.07764794677495956,-0.02848903276026249,-0.03202609717845917,-0.06215190142393112,-0.0570286501199007,0.001
6,3.4307367787911343,3.4223751037492667,-0.05862529203295708,-0.08635754883289337,-0.07347650080919266,-0.05687336623668671,-0.06305793672800064,-0.04902884364128113,-0.0657588392496109,0.001
7,3.430603546362657,3.424096708997674,-0.0448625311255455,-0.11955870687961578,-0.09992888569831848,-0.03770739212632179,-0.03772567957639694,-0.07039907574653625,-0.07306394800543785,0.001
8,3.4305344274410836,3.4227823773655324,-0.0610632561147213,-0.04976978152990341,-0.04259643703699112,-0.03287992253899574,-0.03845534101128578,-0.011398720555007458,-0.035020040534436706,0.001
9,3.430336058139801,3.4218961842563176,-0.06785379350185394,-0.0554390475153923,-0.03848722204566002,-0.04527483880519867,-0.0477973148226738,-0.029070261865854263,-0.04321373701095581,0.001
10,3.430047989350099,3.420061807019995,-0.07070913165807724,-0.05905895307660103,-0.03415454924106598,-0.035473596304655075,-0.046364665031433105,-0.016847077757120132,-0.03837976828217506,0.001
11,3.4295269067470846,3.421300907747461,-0.07734771817922592,-0.05288475379347801,-0.015177409164607525,-0.04502219334244728,-0.05405827611684799,-0.01566270925104618,-0.0365610683336854,0.001
