epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.4315159861858073,3.4266937872685426,-0.054679129272699356,-0.0766223594546318,-0.030270995572209358,-0.0794508308172226,-0.05498483404517174,-0.05409862846136093,-0.059085529670119284,0.01
2,3.4313818995769205,3.426693712899444,-0.05684415623545647,-0.07273415476083755,-0.033591143786907196,-0.07726069539785385,-0.08231965452432632,-0.06165480986237526,-0.06551209166646003,0.01
3,3.4313817624862377,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,3.431382079766347,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
5,3.4313821604618657,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
6,3.4313821632128496,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
