epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.431823379259843,3.426692472685368,-0.10473519563674927,-0.15614302456378937,-0.008426555432379246,-0.11142565310001373,-0.07679926604032516,-0.009248738177120686,-0.07240864746272564,0.001
2,3.431465798616409,3.4266703741266094,-0.104037806391716,-0.15959462523460388,-0.0040965611115098,-0.11105387657880783,-0.07263888418674469,-0.0021423373837023973,-0.06990525689907372,0.001
3,3.4312519664947803,3.4258052690313496,-0.05620251223444939,-0.171526700258255,-0.025538751855492592,-0.0793834924697876,-0.057276640087366104,-0.04284386709332466,-0.07531389035284519,0.001
4,3.4312466084957123,3.425884861464894,-0.07586485147476196,-0.06927154213190079,0.04067471995949745,-0.05049280449748039,-0.05711047351360321,0.01705237664282322,-0.023829544708132745,0.001
5,3.431271335253349,3.4259569382448807,-0.08807935565710068,-0.06923774629831314,0.03733750060200691,-0.06576664745807648,-0.05696640536189079,0.027762670069932938,-0.025374125689268112,0.001
6,3.43137775017665,3.424934588441061,-0.07389476150274277,-0.11219562590122223,0.015976766124367714,-0.07759673148393631,-0.05495117977261543,-0.012201542966067791,-0.04819366279989481,0.001
7,3.4313914542014783,3.426415817453227,-0.10623818635940552,-0.05860532820224762,0.022788172587752342,-0.06540673971176147,-0.050519686192274094,0.037808630615472794,-0.02278699018061161,0.001
8,3.431308462528082,3.4263824344775,-0.12234528362751007,-0.06769905239343643,0.028303131461143494,-0.07119689136743546,-0.05272548273205757,0.05573819577693939,-0.021516019850969313,0.001
9,3.4313926632587726,3.426381795778187,-0.103904590010643,-0.08769198507070541,0.032598573714494705,-0.09543219953775406,-0.04044349491596222,0.04751386493444443,-0.02869104817509651,0.001
10,3.4313358531548426,3.425974594343693,-0.10021098703145981,-0.133096843957901,0.015697965398430824,-0.10784608125686646,-0.05667129531502724,0.02367563731968403,-0.05164812356233597,0.001
11,3.431390266693555,3.426344967763358,-0.10885896533727646,-0.13259153068065643,0.021809322759509087,-0.09029979258775711,-0.06037404015660286,0.030603889375925064,-0.04617043025791645,0.001
