epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.431909275513429,3.4266933388666274,-0.10544147342443466,-0.15522834658622742,-0.008128296583890915,-0.11102348566055298,-0.0778818279504776,-0.008549714460968971,-0.07216233424842358,0.001
2,3.4313930589419144,3.4266890692054677,-0.10355309396982193,-0.15793929994106293,-0.009692784398794174,-0.11181767284870148,-0.07517821341753006,-0.011738420464098454,-0.07327327821403742,0.001
3,3.4314179851458624,3.425778111186596,-0.08920743316411972,-0.17321400344371796,-0.0005552599905058742,-0.10563995689153671,-0.05535963177680969,-0.0027560885064303875,-0.06750498812180013,0.001
4,3.431348939583852,3.4262064837534494,-0.06247090548276901,-0.09689004719257355,0.013211742043495178,-0.06414317339658737,-0.06615753471851349,-0.018688015639781952,-0.046533405780792236,0.001
5,3.4313624317829428,3.4263302579932255,-0.07139497995376587,-0.08772029727697372,-0.018710734322667122,-0.05516933277249336,-0.05823793262243271,-0.012394656427204609,-0.046446590684354305,0.001
6,3.431213512328955,3.423121146105845,-0.07841934263706207,-0.10590275377035141,0.04001834616065025,-0.0970202386379242,-0.04503706470131874,0.03902547433972359,-0.0337832473218441,0.001
7,3.431342831024757,3.425734819622215,-0.056625209748744965,-0.08759468048810959,0.03426455333828926,-0.08843803405761719,-0.05096731707453728,0.027155933901667595,-0.03311590887606144,0.001
8,3.4313046125265267,3.4258712212973776,-0.08973177522420883,-0.06522378325462341,0.021477868780493736,-0.06302416324615479,-0.052430856972932816,0.018482359126210213,-0.028143715113401413,0.001
9,3.431279237912251,3.425194189089154,-0.07948716729879379,-0.08647841215133667,0.033032987266778946,-0.09293835610151291,-0.04796972498297691,0.05068802833557129,-0.02873309552669525,0.001
10,3.43110989011251,3.424610765702134,-0.10289208590984344,-0.07067985832691193,0.033406104892492294,-0.08818100392818451,-0.04036223515868187,0.05883901193737984,-0.021395596116781233,0.001
11,3.431117171507615,3.4248651342654446,-0.1346394419670105,-0.07061298936605453,0.024530502036213875,-0.0754488855600357,-0.05501572787761688,0.05560838058590889,-0.02418774403631687,0.001
12,3.431033240831815,3.4226107706717395,-0.13891898095607758,-0.07485020905733109,0.024440515786409378,-0.07032131403684616,-0.05154247209429741,0.05718144774436951,-0.023018406331539155,0.001
13,3.4306377951915445,3.420126457826807,-0.1479690819978714,-0.07615529000759125,0.023399416357278824,-0.07051394134759903,-0.07155832648277283,0.04575129970908165,-0.029815368354320526,0.001
