epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.4328758455239807,3.426693474480865,-0.1068398728966713,-0.15245409309864044,-0.021091239526867867,-0.09141560643911362,-0.09689293801784515,0.012429961934685707,-0.06988478302955628,0.001
2,3.431495517033797,3.4266906484551387,-0.10657772421836853,-0.15280470252037048,-0.0211549811065197,-0.09150158613920212,-0.09656046330928802,0.012071596458554268,-0.0699900273233652,0.001
3,3.431266849774581,3.4266012830471775,-0.10259415954351425,-0.15565600991249084,-0.023159312084317207,-0.0907328799366951,-0.09138807654380798,0.0072192843072116375,-0.0707433988340199,0.001
4,3.431281696833097,3.4259941381052,-0.0672917366027832,-0.14811964333057404,-0.05741516128182411,-0.0450013168156147,-0.04930645972490311,-0.031135939061641693,-0.06619570404291153,0.001
5,3.4309492335869716,3.4250539683420724,-0.05821700021624565,-0.051683954894542694,-0.042041946202516556,-0.029879508540034294,-0.04235229641199112,-0.027894172817468643,-0.03877037577331066,0.001
6,3.4307703825143667,3.4209785592665365,-0.06026005372405052,-0.07633697241544724,-0.06732676923274994,-0.049685195088386536,-0.053906865417957306,-0.0383300855755806,-0.05711717754602432,0.001
7,3.4307497129990505,3.424008238206216,-0.045965153723955154,-0.14586853981018066,-0.11317773163318634,-0.0445561446249485,-0.041870828717947006,-0.07714211195707321,-0.08452307134866714,0.001
8,3.430564599770766,3.422087953724992,-0.058711957186460495,-0.0442168302834034,-0.03909428045153618,-0.03341704234480858,-0.0367908701300621,-0.0010805714409798384,-0.030919918930158018,0.001
9,3.4305795912559214,3.423040879975765,-0.0527021586894989,-0.05575937777757645,-0.06370007246732712,-0.03712206333875656,-0.03602816164493561,-0.03328455612063408,-0.04517884626984596,0.001
10,3.4299642695830417,3.4195553862720454,-0.0691566988825798,-0.04994354024529457,-0.0388404056429863,-0.03968007490038872,-0.0435650534927845,-0.013336313888430595,-0.037073077633976936,0.001
11,3.429800813473188,3.421859649343228,-0.062146492302417755,-0.05366743355989456,-0.046422235667705536,-0.0408879853785038,-0.044783152639865875,-0.02537517435848713,-0.04222719632089138,0.001
