epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,lr
1,3.432641541040861,3.426692321759845,-0.10546211898326874,-0.1552303433418274,-0.008252697996795177,-0.11091949790716171,-0.07797516882419586,-0.008836508728563786,-0.07224284335970879,0.001
2,3.431482437482247,3.426676139919036,-0.10470636188983917,-0.15606999397277832,-0.007421479094773531,-0.11145045608282089,-0.07611009478569031,-0.007903274148702621,-0.07179105961695313,0.001
3,3.4314135102125314,3.4264800657919787,-0.09047175943851471,-0.17703746259212494,0.0030078310519456863,-0.09080629795789719,-0.059443309903144836,0.006345026660710573,-0.06358684254810214,0.001
4,3.431371736067992,3.4258143508106196,-0.04658681899309158,-0.1747010201215744,-0.03554908186197281,-0.08999884873628616,-0.06129738315939903,-0.05102049931883812,-0.0825133666396141,0.001
5,3.431341085525659,3.425939785231144,-0.06967677175998688,-0.09528499841690063,-0.011495773680508137,-0.057421766221523285,-0.06584572792053223,-0.022681375965476036,-0.05054592844098806,0.001
6,3.4312004992595084,3.4234945161626973,-0.06994829326868057,-0.09067756682634354,0.04142874851822853,-0.0746152400970459,-0.05352511629462242,0.017703136429190636,-0.03193720765411854,0.001
7,3.4313415068846482,3.4253387669904516,-0.07179100811481476,-0.05900363624095917,0.02932276390492916,-0.07962965220212936,-0.06900830566883087,-0.013258793391287327,-0.03831552471965551,0.001
8,3.431251064172158,3.423405303867585,-0.07272443175315857,-0.06902197003364563,0.022115692496299744,-0.08919112384319305,-0.05010531097650528,-0.0007194207864813507,-0.037384426628705114,0.001
9,3.431338563790688,3.425758576174395,-0.06950230896472931,-0.044270750135183334,0.03668215870857239,-0.07964572310447693,-0.06079237535595894,0.0013031818671151996,-0.029344701603986324,0.001
10,3.431129341859084,3.423202094681766,-0.08534903824329376,-0.056789953261613846,0.03800055384635925,-0.08303234726190567,-0.04547122120857239,0.062126774340867996,-0.01703323870897293,0.001
11,3.4309629917144777,3.42524724269132,-0.06592057645320892,-0.041939619928598404,0.016657087951898575,-0.08966324478387833,-0.06726046651601791,-0.010365544818341732,-0.03851435761898756,0.001
12,3.4308733720045823,3.422581983268808,-0.13645878434181213,-0.06797310709953308,0.020442388951778412,-0.07489321380853653,-0.05376879870891571,0.04783381149172783,-0.025671783834695816,0.001
13,3.43073916893739,3.4223182179512235,-0.12552274763584137,-0.06573649495840073,0.021938785910606384,-0.06204681470990181,-0.04062485694885254,0.059550072997808456,-0.017383861541748046,0.001
