status,temperature,lr,dropout,best_avg_sep_ratio,test_avg_sep_ratio,test_stage_sil
success,0.07,1e-4,0.3,1.2321243907747725,1.0669972801600136,-0.144447
success,0.07,1e-4,0.5,1.2332549385927434,1.0456689417189908,-0.11522433
success,0.07,5e-4,0.3,1.3991149127581397,1.057112512665204,-0.18953577
success,0.07,5e-4,0.5,1.3469356609671894,1.0437980308968555,-0.15163381
success,0.1,1e-4,0.3,1.204142253633408,1.1223124492304024,0.07931727
success,0.1,1e-4,0.5,1.3159692995747079,1.096591436711181,-0.13433379
success,0.1,5e-4,0.3,1.361743514831883,1.0883540515838446,-0.19140235
success,0.1,5e-4,0.5,1.4203980859927379,1.0168209371559647,-0.13716164
success,0.2,1e-4,0.3,1.287761049204883,1.06684088724286,-0.15937003
success,0.2,1e-4,0.5,1.2679134530571499,1.0913228738405718,-0.21133679
success,0.2,5e-4,0.3,1.397398500519111,1.1006059020889238,-0.11355949
success,0.2,5e-4,0.5,1.305138555185004,1.0931054693351991,-0.09665054
